Id,Community,Label,Is_author
1368818398742872066,81,1368818398742872066,False
2338542668,81,2338542668,False
230506675,81,230506675,False
492010683,81,492010683,False
84580374,81,84580374,False
132183460,81,132183460,False
1017788238977646593,81,1017788238977646593,False
59073108,81,59073108,False
767796747447988224,81,767796747447988224,False
2336207721,81,2336207721,False
123934062,81,123934062,False
260460755,81,260460755,False
1123989434985320448,81,1123989434985320448,False
178469893,81,178469893,False
366197518,81,366197518,False
2573819212,81,2573819212,False
1266325027659677696,81,1266325027659677696,False
431424249,81,431424249,False
1348058478695346179,81,1348058478695346179,False
46369866,81,46369866,False
150661180,81,150661180,False
1491191177009414145,81,1491191177009414145,False
2867442953,81,2867442953,False
89035522,81,89035522,False
3266245188,81,3266245188,False
216493717,81,216493717,False
205789731,81,205789731,False
1247486245841842187,81,1247486245841842187,False
749899482,81,749899482,False
289435424,81,289435424,False
20230475,81,20230475,False
1148807773,81,1148807773,False
114547042,67,114547042,False
1083667759693787137,81,1083667759693787137,False
43056399,81,43056399,False
514198973,81,514198973,False
1241469040096415748,81,1241469040096415748,False
1326580621691514880,81,1326580621691514880,False
19548182,81,19548182,False
228110027,81,228110027,False
3974326228,81,3974326228,False
192496610,81,192496610,False
62848055,81,62848055,False
148056037,81,148056037,False
404131221,81,404131221,False
1266433735471312901,81,1266433735471312901,False
257910591,81,257910591,False
1184927123116642308,81,1184927123116642308,False
35434910,81,35434910,False
816236873806909441,81,816236873806909441,False
4218436713,81,4218436713,False
27402396,81,27402396,False
4778112617,81,4778112617,False
1089186782573457408,81,1089186782573457408,False
1345341911628918786,81,1345341911628918786,False
991680512237408257,81,991680512237408257,False
703626110,81,703626110,False
704896244,81,704896244,False
1494455914958659584,81,1494455914958659584,False
300381025,81,300381025,False
155840321,81,155840321,False
2866284167,81,2866284167,False
1459434631300853760,81,1459434631300853760,False
587402956,81,587402956,False
255215300,81,255215300,False
1444636220,81,1444636220,False
2786220064,81,2786220064,False
1184348575,81,1184348575,False
1233328784423751681,81,1233328784423751681,False
1409114568727662593,81,1409114568727662593,False
15579557,81,15579557,False
142747382,81,142747382,False
247709361,81,247709361,False
834496422561054720,81,834496422561054720,False
914784798,81,914784798,False
843337472,81,843337472,False
1472601280157786119,81,1472601280157786119,False
148085117,81,148085117,False
2260576352,81,2260576352,False
155170104,81,155170104,False
2232084560,81,2232084560,False
2332502833,81,2332502833,False
19640935,81,19640935,False
748839766121148416,81,748839766121148416,False
475303628,81,475303628,False
45387082,81,45387082,False
2593519705,67,2593519705,False
801910106350899201,81,801910106350899201,False
1102182054584901632,81,1102182054584901632,False
705248132196495360,81,705248132196495360,False
2874544231,81,2874544231,False
1280299339731079169,81,1280299339731079169,False
14672235,81,14672235,False
157296433,81,157296433,False
81790372,81,81790372,False
324220983,81,324220983,False
1197806630638948352,81,1197806630638948352,False
1599428166,81,1599428166,False
1166727450254073856,81,1166727450254073856,False
1259497344732729346,81,1259497344732729346,False
705280012,81,705280012,False
578370192,81,578370192,False
1249355097118826496,81,1249355097118826496,False
146543890,81,146543890,False
47069680,81,47069680,False
1325135754369110016,81,1325135754369110016,False
2202909280,81,2202909280,False
8130872,81,8130872,False
3359204830,81,3359204830,False
26365155,81,26365155,False
226203834,81,226203834,False
1259827971147382785,81,1259827971147382785,False
971412233942110209,81,971412233942110209,False
21750761,81,21750761,False
1378038280663527427,81,1378038280663527427,False
48415689,81,48415689,False
468690505,81,468690505,False
2764354112,81,2764354112,False
82838378,81,82838378,False
474749215,81,474749215,False
243839975,81,243839975,False
2495314252,81,2495314252,False
2871424303,81,2871424303,False
3154294629,81,3154294629,False
252641013,81,252641013,False
4264297743,67,4264297743,False
522500092,81,522500092,False
1198639620818423810,81,1198639620818423810,False
1378456659463434247,81,1378456659463434247,False
1698829598,81,1698829598,False
713663202026979328,81,713663202026979328,False
402026873,81,402026873,False
619241015,81,619241015,False
2368913294,81,2368913294,False
353022633,81,353022633,False
164809116,81,164809116,False
256541603,81,256541603,False
65535162,81,65535162,False
43700533,81,43700533,False
31158054,81,31158054,False
2262223191,81,2262223191,False
620191916,81,620191916,False
137491267,81,137491267,False
1099371930841464832,81,1099371930841464832,False
1148521697139744768,81,1148521697139744768,False
1231930773151866882,81,1231930773151866882,False
1024395565323497472,81,1024395565323497472,False
590000420,81,590000420,False
303130868,81,303130868,False
986128839758766080,81,986128839758766080,False
750015600,81,750015600,False
1477673677546299398,81,1477673677546299398,False
1471354089615151104,81,1471354089615151104,False
20848260,81,20848260,False
818486333043867648,81,818486333043867648,False
431923953,81,431923953,False
2625769556,81,2625769556,False
160158625,81,160158625,False
152784194,81,152784194,False
103982178,81,103982178,False
166960271,81,166960271,False
1328248248650313728,81,1328248248650313728,False
947457433026383872,81,947457433026383872,False
700222688,81,700222688,False
3873944493,81,3873944493,False
775787416305172480,81,775787416305172480,False
245079791,81,245079791,False
1496927092675645447,81,1496927092675645447,False
47156804,81,47156804,False
1012292638559662080,81,1012292638559662080,False
22206080,81,22206080,False
1635421561,81,1635421561,False
1497297473362141187,81,1497297473362141187,False
1377179025160904706,81,1377179025160904706,False
2549178149,81,2549178149,False
2873335164,81,2873335164,False
753326818212581376,81,753326818212581376,False
637330662,81,637330662,False
1322665393492811776,81,1322665393492811776,False
1514639766,81,1514639766,False
595485955,81,595485955,False
2794951337,81,2794951337,False
957919274,81,957919274,False
1372426416,81,1372426416,False
981909443205050368,81,981909443205050368,False
2475219840,81,2475219840,False
1159917887857057794,81,1159917887857057794,False
583640509,81,583640509,False
2791354576,81,2791354576,False
543729870,87,543729870,False
700814473720946691,81,700814473720946691,False
29967957,50,29967957,False
1430173368519733265,81,1430173368519733265,False
1103672605561761797,81,1103672605561761797,False
1487835930161561610,81,1487835930161561610,False
552082765,81,552082765,False
17617109,81,17617109,False
56147198,81,56147198,False
90894098,81,90894098,False
44851811,81,44851811,False
2258247484,81,2258247484,False
1229276681283735552,81,1229276681283735552,False
2464928115,81,2464928115,False
1476240014686175232,81,1476240014686175232,False
2706663524,81,2706663524,False
349869299,81,349869299,False
931717956,81,931717956,False
1259862969703452672,81,1259862969703452672,False
930459024235159552,81,930459024235159552,False
1114237956972318721,81,1114237956972318721,False
1462329507642228738,81,1462329507642228738,False
1285594911803416583,81,1285594911803416583,False
1320499922223927302,81,1320499922223927302,False
146165960,81,146165960,False
1113769776478814210,81,1113769776478814210,False
27060756,81,27060756,False
1012824824,81,1012824824,False
3003502493,81,3003502493,False
1438170427130589187,81,1438170427130589187,False
1400554911402758149,81,1400554911402758149,False
20423769,89,20423769,False
2984742149,81,2984742149,False
451765000,81,451765000,False
114055434,81,114055434,False
1401155174660517889,81,1401155174660517889,False
1254713527589384193,81,1254713527589384193,False
17686385,81,17686385,False
64015078,81,64015078,False
3807503249,81,3807503249,False
82933885,81,82933885,False
1266356703215394818,81,1266356703215394818,False
389626799,81,389626799,False
835452277,81,835452277,False
997097702172385280,81,997097702172385280,False
341140317,81,341140317,False
278343420,81,278343420,False
20327958,81,20327958,False
921143191,81,921143191,False
179616993,81,179616993,False
107815257,81,107815257,False
738289804866162688,81,738289804866162688,False
902689690704367616,81,902689690704367616,False
1487718692460896261,81,1487718692460896261,False
3027296267,81,3027296267,False
187460048,81,187460048,False
2704124254,81,2704124254,False
293696049,81,293696049,False
125621689,81,125621689,False
51213279,81,51213279,False
2499248783,81,2499248783,False
1270475668577554435,81,1270475668577554435,False
354919618,81,354919618,False
1272777502528802816,81,1272777502528802816,False
1401572449314086917,81,1401572449314086917,False
859705146,81,859705146,False
178693824,81,178693824,False
198801494,81,198801494,False
1453617914,81,1453617914,False
1244209909266296837,81,1244209909266296837,False
22681885,87,22681885,False
99688135,81,99688135,False
1092140610608422912,81,1092140610608422912,False
2317003029,81,2317003029,False
871118772396072960,81,871118772396072960,False
475893362,81,475893362,False
2376977041,81,2376977041,False
1274840978,81,1274840978,False
60874499,81,60874499,False
2280364610,81,2280364610,False
1268502756354134017,81,1268502756354134017,False
434044675,81,434044675,False
940968833237516288,81,940968833237516288,False
176352444,81,176352444,False
47639936,81,47639936,False
1497648613538762754,81,1497648613538762754,False
929620043117285376,81,929620043117285376,False
4019547388,81,4019547388,False
18725885,81,18725885,False
1336655526,81,1336655526,False
52400775,81,52400775,False
1260603931467579394,81,1260603931467579394,False
831446125869674496,81,831446125869674496,False
210535063,81,210535063,False
27522346,81,27522346,False
1380296185,81,1380296185,False
400938602,81,400938602,False
518990073,81,518990073,False
871132644209291267,81,871132644209291267,False
1475817632242745345,81,1475817632242745345,False
221522078,81,221522078,False
1342910491,81,1342910491,False
1295006701515681794,81,1295006701515681794,False
746689772391927808,81,746689772391927808,False
713044748337025024,81,713044748337025024,False
1169261449874681858,81,1169261449874681858,False
2650475639,81,2650475639,False
133349457,81,133349457,False
2874866717,81,2874866717,False
4384190549,81,4384190549,False
295198690,81,295198690,False
167727020,81,167727020,False
822217004526477313,81,822217004526477313,False
22261681,89,22261681,False
1496571356284170243,81,1496571356284170243,False
1224830134269726726,81,1224830134269726726,False
1352150667155144707,81,1352150667155144707,False
1099673194989010946,81,1099673194989010946,False
787955435340963840,81,787955435340963840,False
3730490777,81,3730490777,False
948309516038307841,81,948309516038307841,False
619050408,81,619050408,False
2461069121,81,2461069121,False
20863507,81,20863507,False
1882725776,81,1882725776,False
1033836699263098880,81,1033836699263098880,False
747745989482647552,81,747745989482647552,False
1269241751669215233,81,1269241751669215233,False
476804251,87,476804251,False
410950195,81,410950195,False
65399590,81,65399590,False
3297652902,81,3297652902,False
25323909,81,25323909,False
86504013,81,86504013,False
1177985293007409154,81,1177985293007409154,False
1264280652364554246,81,1264280652364554246,False
1142191763718885376,81,1142191763718885376,False
518266632,81,518266632,False
331796468,81,331796468,False
1395386803557998594,81,1395386803557998594,False
176982224,81,176982224,False
1387468622738739204,81,1387468622738739204,False
1375171616200605705,81,1375171616200605705,False
566226304,81,566226304,False
1705235767,81,1705235767,False
901287242911690752,81,901287242911690752,False
1193136560872591360,81,1193136560872591360,False
4077604156,81,4077604156,False
587780054,81,587780054,False
17675836,81,17675836,False
490196801,81,490196801,False
1325130204742897665,81,1325130204742897665,False
919638937718743041,81,919638937718743041,False
923619318893633536,81,923619318893633536,False
403355603,81,403355603,False
1215913248211505152,81,1215913248211505152,False
1241453209396396033,81,1241453209396396033,False
286261918,81,286261918,False
1261691590504067072,81,1261691590504067072,False
167492882,81,167492882,False
1172035937850875905,67,1172035937850875905,False
3586218013,81,3586218013,False
1462789524023652358,81,1462789524023652358,False
1164973096031404033,81,1164973096031404033,False
1224765856737046529,81,1224765856737046529,False
960545404281647104,81,960545404281647104,False
19162842,81,19162842,False
1269022523083104257,81,1269022523083104257,False
510387622,81,510387622,False
1262391883,81,1262391883,False
716670983436951557,81,716670983436951557,False
63968640,81,63968640,False
566652887,81,566652887,False
1406650894939312128,81,1406650894939312128,False
3242158589,81,3242158589,False
710798937,81,710798937,False
552972831,81,552972831,False
710805951817916416,81,710805951817916416,False
2455274583,81,2455274583,False
