Unnamed: 0,userid,tweetid,text,hashtags,author_id,original_tweet_id
50701,1489241986389651458,1499216765985107969,"Strike over Kyiv, a while ago #Ukraine #RussianUkrainianWar #RussiaUkraineWar ,#UkraineUnderAttack https://t.co/IDvwwXdctc","[{'text': 'Ukraine', 'indices': [30, 38]}, {'text': 'RussianUkrainianWar', 'indices': [39, 59]}, {'text': 'RussiaUkraineWar', 'indices': [60, 77]}, {'text': 'UkraineUnderAttack', 'indices': [79, 98]}]",1489241986389651458,1499216765985107969
305170,1152348175761465344,1499451437209702413,@olex_scherba We are all Putin's puppets. He is controlling the entire world w/the conditions we will not go against.  He knows that.  He can eradicate an entire country. Shame on us.   Black mark on the world and humanity.  #UkraineRussianWar #Ukriane #IStandWithUkraine #IStandWithZelenskyy,"[{'text': 'UkraineRussianWar', 'indices': [225, 243]}, {'text': 'Ukriane', 'indices': [244, 252]}, {'text': 'IStandWithUkraine', 'indices': [253, 271]}, {'text': 'IStandWithZelenskyy', 'indices': [272, 292]}]",1152348175761465344,1396956590713020416
330920,1369587782897831939,1499474347576205316,"@JJansaSDS @UN @NATO @Europarl_EN Please be as united while considering exclusion of #Russia from the @UN and closing the sky over Ukraine – at least over nuclear objects. 

It's the matter of safety not only of Ukraine, but the whole world.

#StopPutinNOW #StopWarInUkraine #StopRussia #CloseTheSky @NATO","[{'text': 'Russia', 'indices': [85, 92]}, {'text': 'StopPutinNOW', 'indices': [243, 256]}, {'text': 'StopWarInUkraine', 'indices': [257, 274]}, {'text': 'StopRussia', 'indices': [275, 286]}, {'text': 'CloseTheSky', 'indices': [287, 299]}]",1369587782897831939,1499131877751410690
62483,1492884239347597317,1499226778535145472,"The #war is not between #Russia and #Ukraine, but between the past and the future, between tyrany and freedom, between bad guys and good guys. I want to believe that the good guys always win. #StopPutinNOW https://t.co/WFHpXqhKT5","[{'text': 'war', 'indices': [4, 8]}, {'text': 'Russia', 'indices': [24, 31]}, {'text': 'Ukraine', 'indices': [36, 44]}, {'text': 'StopPutinNOW', 'indices': [192, 205]}]",1492884239347597317,1499226778535145472
288533,1405015049681342465,1499435841071955969,"This was posted some time ago by a Voice of America Director #VOA ⁦@VOANews⁩. Now with #Ukraine and independent media in #Russia being destroyed, we need Biden to appoint #USAGM ⁦@USAGMgov⁩ leaders who don’t post such nonsense. https://t.co/78fpSRdPq1","[{'text': 'VOA', 'indices': [61, 65]}, {'text': 'Ukraine', 'indices': [87, 95]}, {'text': 'Russia', 'indices': [121, 128]}, {'text': 'USAGM', 'indices': [171, 177]}]",1405015049681342465,1499435841071955969
146701,51285724,1499310145012219907,"15735 kHz and 5875 kHz

The #BBC has revived an old-school radio service to help #Ukraine as TV and internet is attacked by #Russia. https://t.co/BKnGXa3Enp","[{'text': 'BBC', 'indices': [44, 48]}, {'text': 'Ukraine', 'indices': [97, 105]}]",51285724,1499303095825801219
339438,2905332184,1499481874854518785,"@SenFeinstein Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #StopPutin #SafeAirliftUkraine","[{'text': 'Putin', 'indices': [82, 88]}, {'text': 'StopPutin', 'indices': [137, 147]}, {'text': 'SafeAirliftUkraine', 'indices': [148, 167]}]",2905332184,1499481874854518785
249284,764397613,1499397323880689667,"Arrival of Ukrainian refugees in Frankfurt (Oder), much better organization than in 2015! #Ukraine #peaceforukraine #FrankfurtOder https://t.co/kNDZ2qj3T6","[{'text': 'Ukraine', 'indices': [90, 98]}, {'text': 'peaceforukraine', 'indices': [99, 115]}, {'text': 'FrankfurtOder', 'indices': [116, 130]}]",764397613,1499397323880689667
186919,3391374694,1499344168811962368,"#NEW The UN says more than 1 million people have fled #Ukraine since Russia's invasion began. That's more than 2% of Ukraine's population.

Gov. McKee says RI is ready to welcome refugees, but it could be years before they arrive. More this AM on @wpri12

https://t.co/IJiNz4pait","[{'text': 'NEW', 'indices': [0, 4]}, {'text': 'Ukraine', 'indices': [54, 62]}]",3391374694,1499344168811962368
718,363601382,1499174781278728200,"There’s nothing healthy about Holland &amp; Barrett, owned by Mikhail Fridman, an oligarch #Putin crony. He has resigned from the board today, but still owns the firm, and of course vast properties in the UK. Boycott it whilst he remains the owner.
#StandingWithUkraine #StopPutinNOW","[{'text': 'Putin', 'indices': [101, 107]}]",363601382,1499020230114390021
121896,2202063265,1499287362320351234,@GOV2UK It’s #JohnsonOut38 day. His days are numbered. #NHS4MyVote #StandWithUkraine,"[{'text': 'JohnsonOut38', 'indices': [13, 26]}, {'text': 'NHS4MyVote', 'indices': [55, 66]}, {'text': 'StandWithUkraine', 'indices': [67, 84]}]",2202063265,1499172709007126529
30974,3377374973,1499201103933710344,‘Boycotting a country accused of aggression in violation of international law has suddenly become justifiable and even a moral obligation – but apparently only as long as it is #Russia .’ ⁦@intifada⁩  https://t.co/kvMnkXS2yu,[],3377374973,1499196770651455488
334082,798253360847659008,1499477605229207556,"@Alexia89945741 Baghdad ❤️

Seems like you Russian propagandists always forget to post what happened very shortly after the sign supporting the terrorist was put up. Don't worry, I got your back 😄

#Putin #Russia #Baghdad #Iraq #Ukraine #UkraineRussiaWar #Kyiv #Kharkiv #Marioupol #Kherson https://t.co/V6B2pOuShm","[{'text': 'Putin', 'indices': [198, 204]}, {'text': 'Russia', 'indices': [205, 212]}, {'text': 'Baghdad', 'indices': [213, 221]}, {'text': 'Iraq', 'indices': [222, 227]}, {'text': 'Ukraine', 'indices': [228, 236]}, {'text': 'UkraineRussiaWar', 'indices': [237, 254]}, {'text': 'Kyiv', 'indices': [255, 260]}, {'text': 'Kharkiv', 'indices': [261, 269]}, {'text': 'Marioupol', 'indices': [270, 280]}, {'text': 'Kherson', 'indices': [281, 289]}]",798253360847659008,1499189332019752963
226711,947643131972820992,1499378377257816065,"O human being, I request you to give up the idea of ​​war. Be wise, for whom should we fight this war? How many more days will you be in the world? Stop your cruelty. Have mercy on all human beings. 

#StopWar https://t.co/sq40vdyspg",[],947643131972820992,1499375861543636994
25417,1430703819529334787,1499195121006436356,Check out this item on OpenSea https://t.co/4FL5JE7dNL via @opensea #Ukraine #UkraineRussiaWar #UkraineWar #NFTs @KIIARA #trendingkiiara #marketing #kiiara #metaverse #datavis #sandbox #opensea #Ethereum #NFTcollection #BTS #Solana #Polygon #100daysofcodechallenge #monalisa #BTC,"[{'text': 'Ukraine', 'indices': [68, 76]}, {'text': 'UkraineRussiaWar', 'indices': [77, 94]}, {'text': 'UkraineWar', 'indices': [95, 106]}, {'text': 'NFTs', 'indices': [107, 112]}, {'text': 'trendingkiiara', 'indices': [121, 136]}, {'text': 'marketing', 'indices': [137, 147]}, {'text': 'kiiara', 'indices': [148, 155]}, {'text': 'metaverse', 'indices': [156, 166]}, {'text': 'datavis', 'indices': [167, 175]}, {'text': 'sandbox', 'indices': [176, 184]}, {'text': 'opensea', 'indices': [185, 193]}, {'text': 'Ethereum', 'indices': [194, 203]}, {'text': 'NFTcollection', 'indices': [204, 218]}, {'text': 'BTS', 'indices': [219, 223]}, {'text': 'Solana', 'indices': [224, 231]}, {'text': 'Polygon', 'indices': [232, 240]}, {'text': '100daysofcodechallenge', 'indices': [241, 264]}, {'text': 'monalisa', 'indices': [265, 274]}, {'text': 'BTC', 'indices': [275, 279]}]",1430703819529334787,1499195121006436356
348644,4826943161,1499489648774721541,"#Belarus ENTERS #War:

🟥Belarus amassing troops on border with #Ukraine at Pinsk which has two motorways to Lviv. 

Would open up an entirely new front.

#UkraineRussiaWar https://t.co/hkFialM1Yp","[{'text': 'Belarus', 'indices': [20, 28]}, {'text': 'War', 'indices': [36, 40]}, {'text': 'Ukraine', 'indices': [83, 91]}]",4826943161,1499413046778806274
108974,397052586,1499274707148984320,"#Putin has detained a total of 6,840 anti-war protesters since he escalated his war with #Ukraine last Thursday. #SlavaUkraini https://t.co/jWiJyBEeBP https://t.co/Y94JlEYgQe","[{'text': 'Putin', 'indices': [0, 6]}, {'text': 'Ukraine', 'indices': [89, 97]}, {'text': 'SlavaUkraini', 'indices': [113, 126]}]",397052586,1499272787151704065
77841,1411671501254758402,1499248064170631172,Nuclear War will play out. Unavoidable https://t.co/E0SeKVbC6G circumstances. #nuclearwar #AzovBatallion #ClosetheSkyoverUkraine #Kiev #Kyiv #RussianUkrainianWar @marklevinshow @RepMTG #TheFive #TheView @RealJamesWoods. Link after Unavoidable https://t.co/B73ouPfXQC,"[{'text': 'nuclearwar', 'indices': [78, 89]}, {'text': 'AzovBatallion', 'indices': [90, 104]}, {'text': 'ClosetheSkyoverUkraine', 'indices': [105, 128]}, {'text': 'Kiev', 'indices': [129, 134]}, {'text': 'Kyiv', 'indices': [135, 140]}, {'text': 'RussianUkrainianWar', 'indices': [141, 161]}, {'text': 'TheFive', 'indices': [185, 193]}, {'text': 'TheView', 'indices': [194, 202]}]",1411671501254758402,1499248064170631172
53847,1177288337360609280,1499220182908211204,"Appearing on #NBC @TODAYshow Wednesday morning, #Ukrainian #parliamentmember #OleksandraUstinova #slammed #JoeBiden’s #SOTU as “a total #disappointment” in the midst of her country being “#executed” by #Russianforces #Ukraine #RussiaUkraineWar #Biden https://t.co/O3rF8ABHLR","[{'text': 'NBC', 'indices': [13, 17]}, {'text': 'Ukrainian', 'indices': [48, 58]}, {'text': 'parliamentmember', 'indices': [59, 76]}, {'text': 'OleksandraUstinova', 'indices': [77, 96]}, {'text': 'slammed', 'indices': [97, 105]}, {'text': 'JoeBiden', 'indices': [106, 115]}, {'text': 'SOTU', 'indices': [118, 123]}, {'text': 'disappointment', 'indices': [136, 151]}, {'text': 'executed', 'indices': [188, 197]}, {'text': 'Russianforces', 'indices': [202, 216]}, {'text': 'Ukraine', 'indices': [217, 225]}, {'text': 'RussiaUkraineWar', 'indices': [226, 243]}, {'text': 'Biden', 'indices': [244, 250]}]",1177288337360609280,1499220182908211204
73104,17673635,1499243166913884160,"#Russia renewed its aerial assault Wednesday on #Ukraine’s second-largest city in a pounding that lit up the skyline with balls of fire over populated areas, even as both sides said they were ready to resume talks aimed at stopping the fighting. https://t.co/R16G1v3GmV","[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'Ukraine', 'indices': [48, 56]}]",17673635,1499243166913884160
14147,44909158,1499186139709775877,"#HolyFace #Prayers for #Lent Pray for crisis in #Ukraine  https://t.co/JcQd050gEj 
Let us cry out St. John Paul II @ Fatima:""From nuclear war from self-destruction every kind of war deliver us""
#Catholic #CatholicTwitter #AshWednesday #TLM #ashwednesday2022  #Lent2022 #LatinMass https://t.co/RaSN3qtsTe","[{'text': 'HolyFace', 'indices': [0, 9]}, {'text': 'Prayers', 'indices': [10, 18]}, {'text': 'Lent', 'indices': [23, 28]}, {'text': 'Ukraine', 'indices': [48, 56]}, {'text': 'Catholic', 'indices': [194, 203]}, {'text': 'CatholicTwitter', 'indices': [204, 220]}, {'text': 'AshWednesday', 'indices': [221, 234]}, {'text': 'TLM', 'indices': [235, 239]}, {'text': 'ashwednesday2022', 'indices': [240, 257]}, {'text': 'Lent2022', 'indices': [259, 268]}, {'text': 'LatinMass', 'indices': [269, 279]}]",44909158,1499186139709775877
280576,1172258136,1499428741688217602,"If this is true, #Russia is preparing for a level mobilization not seen since 1945. Something that would see up to 20 million men pressed into service.
That's way bigger than Ukraine. That's preparation for a totalitarian war against the west!
Can anyone confirm this? https://t.co/3XlVQ9FFLj","[{'text': 'Russia', 'indices': [31, 38]}]",1172258136,1499428355778744325
85999,2258102198,1499253653227679745,"A short while ago, this team of EMTs, paramedics, doctors, and responders form the Psychotrauma and Crisis Response Unit left Israel to go assist refugees at the Ukrainian-Moldovan border. 
Goodluck and Godspeed

#UkraineRussiaWar #HumanitarianAID https://t.co/1WIF0YBIJD",[],2258102198,1499252530831925248
108692,3780177863,1499274644888567809,"@LawrenceSellin We understand when putin representatives on TV states that they do not wish to see a ""pakistan"" next door to Russia. Pls pls pls understand...these were and are genuine concerns for them. I am against the invasion of #Ukraine.  Peaceful ppl are protesting and stopping tanks.😑😑","[{'text': 'Ukraine', 'indices': [233, 241]}]",3780177863,1499273730760998912
252202,930419187549216768,1499398704234889218,"What a shame seriously, first they delayed in evacuating, than they asked the students to evacuate themselves and somehow reach the bordering countries and now trying to get whole credit with a 🌹.
Hatsoff to Romanian mayor for exposing the PR.
#UkraineRussianWar 
Godi media https://t.co/mnbHKVrhW4","[{'text': 'UkraineRussianWar', 'indices': [244, 262]}]",930419187549216768,1499398704234889218
373001,44574528,1499514452563177481,"⚡️#Russia will likely impose martial law on March 4, the Center for Defense Strategies says.","[{'text': 'Russia', 'indices': [21, 28]}]",44574528,1499513983690231809
131374,1498314815542079488,1499295891240493056,"Good morning! WE ARE FROM #UKRAINE!🇺🇦
March 03. 08.20. #Mykolaiv

We are officers of the @patrolpoliceua of the National Police of Ukraine (Nikolaev city)

We want to send you a message: Russian warship - go fuck yourself

#StopRussianAggression
#StopRussia 
#StopWarInUkraine https://t.co/cBfTRWM8fC","[{'text': 'UKRAINE', 'indices': [26, 34]}, {'text': 'Mykolaiv', 'indices': [55, 64]}, {'text': 'StopRussianAggression', 'indices': [223, 245]}, {'text': 'StopRussia', 'indices': [246, 257]}, {'text': 'StopWarInUkraine', 'indices': [259, 276]}]",1498314815542079488,1499295891240493056
355388,243876917,1499496991415578632,"""Putin again said [...] that he “will never give up on [his] conviction that Russians and Ukrainians are one people.”""

He forgot to ask Ukrainians what they think about that.

I don't think they agree.

🇺🇦✊️
#UkrainiansWillResist 
#UkraineRussianWar
#PutinHitler","[{'text': 'UkrainiansWillResist', 'indices': [209, 230]}, {'text': 'UkraineRussianWar', 'indices': [232, 250]}, {'text': 'PutinHitler', 'indices': [251, 263]}]",243876917,1499496991415578632
290404,730746080674091008,1499436527234998279,"Now that @RoyalCaribbean Group and @VikingCruises have called off all 2022 #Russia port visits, every cruise line that caters principally to the N. American market is lined up to skip St. Petersburg on #Baltic itineraries this summer. https://t.co/Lsn0Xquzhs","[{'text': 'Russia', 'indices': [91, 98]}]",730746080674091008,1499434484113940489
198061,130905752,1499353193750347777,"#IStandWithPutin  Western media never tell us the truth, they lied and try to hide...welcome to the Westworld ~ https://t.co/N0x2axey97","[{'text': 'IStandWithPutin', 'indices': [19, 35]}]",130905752,1499343409298874369
214664,133811779,1499367201404596228,"Just 10 days before the independence of Georgia, on May 17/1918, Grigol Veshapeli published this note. Today, the fate of free, democratic and just world is being decided in #Ukraine. #GeorgiastandswithUkraine https://t.co/KWMcjKs9uE",[],133811779,1497549212648628225
107127,1481204277636964354,1499272348725297156,"@AuschwitzMuseum @ManMet80 @ZelenskyyUa The wicked is driven away in his wickedness: but the righteous hath hope in his death. Proverbs 14:32  Lord God, drive Putin away in his wickedness, and put your shield of protection around the people of #Ukraine 🇺🇦 Give them VICTORY like David agst Goliath, Amen 🙏🏾 🙏 🙏🏾 https://t.co/QhjtzSN2Ye",[],1481204277636964354,1499098646750638080
217521,1407278005530021889,1499370523658178560,"💙💛 @elonmusk there is one more way you can help Ukraine!
Make #PayPal fully available in #Ukraine!
#paypalukraine #ukrainepaypal","[{'text': 'PayPal', 'indices': [75, 82]}, {'text': 'Ukraine', 'indices': [102, 110]}, {'text': 'paypalukraine', 'indices': [112, 126]}]",1407278005530021889,1499370249212280841
86488,3638215945,1499254541958586370,"WORLD BANK STEPS UP ACTION
The World Bank has announced it was halting all of its ongoing projects in Russia and Belarus in response to the invasion of #Ukraine. 

#UkraineUnderAttaсk #RussiaUkraineWar #RussiaInvadesUkraine https://t.co/aZWgpBk1jT","[{'text': 'Ukraine', 'indices': [152, 160]}, {'text': 'UkraineUnderAttaсk', 'indices': [164, 183]}, {'text': 'RussiaUkraineWar', 'indices': [184, 201]}, {'text': 'RussiaInvadesUkraine', 'indices': [202, 223]}]",3638215945,1499254541958586370
137293,117329973,1499302256424136706,"""Recovering Indian students stranded in Ukraine and canceling the #NEET exam should be the goal of the Union Government""

- Hon'ble Chief Minister of Tamil Nadu @mkstalin  
their insistence on the Prime Minister.
#CMMKStalin 
#Ukraine https://t.co/2fdkL0XwOZ","[{'text': 'NEET', 'indices': [66, 71]}, {'text': 'CMMKStalin', 'indices': [213, 224]}, {'text': 'Ukraine', 'indices': [226, 234]}]",117329973,1499302256424136706
335448,1003912653482463232,1499478019076931586,"'The issue about shopping is, if you go shopping you may get hit by a missile ... but you've got to eat ... so people hurry out with their shopping bags and they hurry back' | Journalist @johnsweeneyroar speaks to RTÉ's Six One News from Kyiv #Ukraine | https://t.co/Si5c9XZVov https://t.co/FQByQp8gDH",[],1003912653482463232,1499468032321675270
265381,1361259743550046208,1499413481765982213,Ukraine's intelligence says Putin is considering imposing martial law in Russia tomorrow #UkraineRussianWar #UkraineKrieg #Putin #PutinsWar #PutinsKrieg #PutinWarCrimes,"[{'text': 'UkraineRussianWar', 'indices': [110, 128]}]",1361259743550046208,1499408782958415872
262920,14623982,1499410165715644420,"Just learned that a member of the #WordPress community is representing Ukraine at the Ukraine-Russia negotiations. David Braun who founded Template Monster. Best of luck, from myself and the Wordfence team. David has stayed in Kyiv with Zelensky. #Ukraine https://t.co/JDQ34LBPfO","[{'text': 'WordPress', 'indices': [48, 58]}]",14623982,1499406719612555271
57219,46414821,1499221842942304261,"#UkraineWar
NATO and Ukraine have never been a threat to Russia. Also, a non-aggression pact could end this war, but will Putin accept that?","[{'text': 'UkraineWar', 'indices': [0, 11]}]",46414821,1499221842942304261
7891,336151285,1499180026146824197,The Ugly Face of the Hypocrite Whiteman. #UkraineRussiaWar https://t.co/QK0GHc3QAC,"[{'text': 'UkraineRussiaWar', 'indices': [57, 74]}]",336151285,1499176648612237320
266081,1529761717,1499413907236130816,"“We have contacted the Ukrainian Embassy and are putting efforts to bring Naveen's dead body back to India,” #ArindamBagchi said

#RussianUkrainianWar @MEAIndia 
https://t.co/cqBaMrrYa0",[],1529761717,1499411778102517762
69916,2327401314,1499240311725629440,"#VladimirPutin #MrVP56 has publicly warned the 19 #NATO countries, who are providing arms to #Ukraine, with consequences!

#RussiaUkraineWar","[{'text': 'VladimirPutin', 'indices': [0, 14]}, {'text': 'MrVP56', 'indices': [15, 22]}, {'text': 'NATO', 'indices': [50, 55]}, {'text': 'Ukraine', 'indices': [93, 101]}, {'text': 'RussiaUkraineWar', 'indices': [123, 140]}]",2327401314,1499240311725629440
311089,1459872962954375171,1499455465901670404,"#CheemsInu @CheemsInu #CINU #CHEEMSTAKEOVER $CINU
Buy and hold this token guys

#Saitama
#pitbulltoken
#Dynamix
#BabyDogeCoin
#shiba
#XSTIK
#xSTIKArmy
#Alchemon
#Alchecoin
#chelsea
#UkraineRussianWar
#RussianUkrainianWar
#BinanceSmartChain
#Bitcoin
#SportsbetioBigAnnouncement https://t.co/63rhrWZId5","[{'text': 'CheemsInu', 'indices': [0, 10]}, {'text': 'CINU', 'indices': [22, 27]}, {'text': 'CHEEMSTAKEOVER', 'indices': [28, 43]}, {'text': 'Saitama', 'indices': [80, 88]}, {'text': 'pitbulltoken', 'indices': [89, 102]}, {'text': 'Dynamix', 'indices': [103, 111]}, {'text': 'BabyDogeCoin', 'indices': [112, 125]}, {'text': 'shiba', 'indices': [126, 132]}, {'text': 'XSTIK', 'indices': [133, 139]}, {'text': 'xSTIKArmy', 'indices': [140, 150]}, {'text': 'Alchemon', 'indices': [151, 160]}, {'text': 'Alchecoin', 'indices': [161, 171]}, {'text': 'chelsea', 'indices': [172, 180]}, {'text': 'UkraineRussianWar', 'indices': [181, 199]}, {'text': 'RussianUkrainianWar', 'indices': [200, 220]}, {'text': 'BinanceSmartChain', 'indices': [221, 239]}, {'text': 'Bitcoin', 'indices': [240, 248]}, {'text': 'SportsbetioBigAnnouncement', 'indices': [249, 276]}]",1459872962954375171,1499419664237187073
346477,16178962,1499489213233856512,"@wgirls920 @oXxRowanxXo Hello dear Resister!
Let's grow the resistance together because we are #StrongerTogether 
I #StandWithUkraineNOW and #ResisteUcrania 
#StopPutin  and #SlavaUkraini 🇺🇦
I support #WomensRightsAreHumanRights  #BLM #VoterRights🌈 and #Reiki
Namaste!","[{'text': 'StrongerTogether', 'indices': [95, 112]}, {'text': 'StandWithUkraineNOW', 'indices': [116, 136]}, {'text': 'ResisteUcrania', 'indices': [141, 156]}, {'text': 'StopPutin', 'indices': [158, 168]}, {'text': 'SlavaUkraini', 'indices': [174, 187]}, {'text': 'WomensRightsAreHumanRights', 'indices': [201, 228]}, {'text': 'BLM', 'indices': [230, 234]}, {'text': 'VoterRights', 'indices': [235, 247]}, {'text': 'Reiki', 'indices': [253, 259]}]",16178962,1499378056309493768
287476,1494687558621663239,1499432917029855237,"@KirilPetkov STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. @NATO CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE @UN SECURITY COUNCIL!

#StopPutin #StopRussia","[{'text': 'UKRAINE', 'indices': [45, 53]}, {'text': 'StopPutin', 'indices': [136, 146]}, {'text': 'StopRussia', 'indices': [147, 158]}]",1494687558621663239,1499393148182663179
318601,56744139,1499462836015226880,"fuck #putin fuck #Russia. 
#UkraineRussianWar #UkraineUnderAttack @SenatorBaldwin @SenatorBaldwin @RepGwenMoore @StateDept https://t.co/fGHhdxguJ0","[{'text': 'putin', 'indices': [5, 11]}, {'text': 'Russia', 'indices': [17, 24]}, {'text': 'UkraineRussianWar', 'indices': [27, 45]}, {'text': 'UkraineUnderAttack', 'indices': [46, 65]}]",56744139,1499455753282899974
