Unnamed: 0,userid,tweetid,text,hashtags,author_id,original_tweet_id
208893,2541686508,1500046353698856962,"The residents of #Kherson cover themselves in front of the #Russian convoys, telling the invaders to go home.

#Ukrainian #UkraineRussiaCrisis #Ukrania #UkraineWar #UkraineRussiaWar https://t.co/apyOcREP48","[{'text': 'Kherson', 'indices': [35, 43]}, {'text': 'Russian', 'indices': [77, 85]}, {'text': 'Ukrainian', 'indices': [129, 139]}]",2541686508,1500002768928583680
245383,905254633,1500070271512084487,"#Ukraine #RussianUkrainianWar #Russia 
Gostomel, Kyiv region
not identified https://t.co/KC2kecRgAI","[{'text': 'Ukraine', 'indices': [15, 23]}, {'text': 'RussianUkrainianWar', 'indices': [24, 44]}, {'text': 'Russia', 'indices': [45, 52]}]",905254633,1499736417185923080
110725,1211981100559425536,1499980001428783104,"The #US was is a asshole only caring for its interests, but #Russia is no victim, he has been killing innocent people bombing orphanage
.it's just not about stopping nato , it's about is #ego

#RussianUkrainianWar","[{'text': 'US', 'indices': [4, 7]}, {'text': 'Russia', 'indices': [60, 67]}, {'text': 'ego', 'indices': [187, 191]}, {'text': 'RussianUkrainianWar', 'indices': [193, 213]}]",1211981100559425536,1499980001428783104
301374,82531166,1500105838563926016,@kiraincongress #Ukraine is filled with many strong patriotic people. #Nato #NatoAllies #EU wish they had an once of there #Courage and #Patriotism #NoFlyZone #Russia has destroyed there cities #NuclearPower #murdering woman and children! Why is the world waiting #WW3 has begun,"[{'text': 'Ukraine', 'indices': [16, 24]}, {'text': 'Nato', 'indices': [70, 75]}, {'text': 'NatoAllies', 'indices': [76, 87]}, {'text': 'EU', 'indices': [88, 91]}, {'text': 'Courage', 'indices': [123, 131]}, {'text': 'Patriotism', 'indices': [136, 147]}, {'text': 'NoFlyZone', 'indices': [148, 158]}, {'text': 'Russia', 'indices': [159, 166]}, {'text': 'NuclearPower', 'indices': [194, 207]}, {'text': 'murdering', 'indices': [208, 218]}, {'text': 'WW3', 'indices': [264, 268]}]",82531166,1500105838563926016
90150,282653110,1499963293032763392,"Hard to even comprehend the terror in Ukraine right now but this breathless encounter is pretty damn close 🤯😱 

Hard to contextualise the bravery of press amidst the armed resistance of Ukraine’s civilians but it shouldn’t go unacknowledged or appreciated.  #skynews #ukraine https://t.co/yl5vYRTNv1","[{'text': 'skynews', 'indices': [258, 266]}, {'text': 'ukraine', 'indices': [267, 275]}]",282653110,1499852555450527749
81863,711769349183254528,1499957968124715016,"At the #Ukriane border,a mother brings a stranger’s children to safety. #StandWithUkraine #NATO https://t.co/LAraG3vKFA","[{'text': 'Ukriane', 'indices': [7, 15]}, {'text': 'StandWithUkraine', 'indices': [72, 89]}, {'text': 'NATO', 'indices': [90, 95]}]",711769349183254528,1499957968124715016
51980,1354966067920195586,1499934527124344833,"Tchaikovsky: Swan Lake choreographed by Nureyev, Final Scene https://t.co/CojOzBcCm9 #RussiaUkraine #RussianArmy #RussianOligarchs #Nato #EU #GivePeaceAChance https://t.co/FbehrPmQOi","[{'text': 'RussiaUkraine', 'indices': [85, 99]}, {'text': 'RussianArmy', 'indices': [100, 112]}, {'text': 'RussianOligarchs', 'indices': [113, 130]}, {'text': 'Nato', 'indices': [131, 136]}, {'text': 'EU', 'indices': [137, 140]}, {'text': 'GivePeaceAChance', 'indices': [141, 158]}]",1354966067920195586,1499934527124344833
75329,2542147872,1499951544539639811,"Ski-Doo maker Bombardier Recreational Products stops exporting to Russia. Live Ukraine updates  https://t.co/kp6YV1Bon2 — via @financialpost

#Russia #Ukraine #financialwar https://t.co/goxX76ZtTp",[],2542147872,1499765637878591504
8199,18529487,1499902301544271875,"In this month's #ArmsControlToday, @StanfordCISAC's Rose @Gottemoeller, @tgrahamjr, and @OlyaOliker talk about the origins of the invasion of #Ukraine and what an eventual solution might involve. @OutFrontCNN @ErinBurnett 

Read their full discussion at https://t.co/yWaHBB4swp https://t.co/5p9sxZvwPs","[{'text': 'ArmsControlToday', 'indices': [36, 53]}]",18529487,1499901223578841093
216001,2668722926,1500051840137900034,"In @BradBlank_'s op-ed on #RussiaToday NATO is benefiting from #UkraineRussianWar:""it most likely has to do with controlling #Europe and making sure that #NATO itself doesn’t fall apart. In that sense,#Russia’s invasion of #Ukraine has ensured this goal and then some.""
#TeamPutin","[{'text': 'RussiaToday', 'indices': [26, 38]}, {'text': 'UkraineRussianWar', 'indices': [63, 81]}, {'text': 'Europe', 'indices': [125, 132]}, {'text': 'NATO', 'indices': [154, 159]}, {'text': 'Russia', 'indices': [201, 208]}, {'text': 'Ukraine', 'indices': [223, 231]}, {'text': 'TeamPutin', 'indices': [270, 280]}]",2668722926,1500051840137900034
