Unnamed: 0,userid,tweetid,text,hashtags,author_id,original_tweet_id
168165,137792636,1498959647906009088,"I'll get into trouble for doing this 🇷🇺🇺🇦...
.
#russia #VladimirPutin #Ukraine https://t.co/pVFiiVeeDH","[{'text': 'russia', 'indices': [60, 67]}, {'text': 'VladimirPutin', 'indices': [68, 82]}, {'text': 'Ukraine', 'indices': [83, 91]}]",851678533374136321,1498758690362515457
25762,851678533374136321,1498830516606455812,"This U.S. Veteran stands with Ukraine! 

#StandWithUkraine 🇺🇦🇺🇸 https://t.co/TJ0SdjeTK3","[{'text': 'StandWithUkraine', 'indices': [56, 73]}]",54203019,1498844349353926661
38169,54203019,1498844349353926661,"Great to recognize the Ukrainian ambassador in the first minutes of #SOTU, #Congress should act tomorrow to levy the heaviest sanctions ever on #Russia and authorize unprecedented arms transfers to allow #Ukraine to defend itself.","[{'text': 'SOTU', 'indices': [68, 73]}, {'text': 'Congress', 'indices': [75, 84]}, {'text': 'Russia', 'indices': [144, 151]}, {'text': 'Ukraine', 'indices': [204, 212]}]",1497052331342540828,1498861349379608582
58538,1497052331342540828,1498861349379608582,#Putin financial advisors got most of it wrong !! And this is becoming more evident in the way they respond after the sanctions imposed on the Central bank of #Russia . Central Banker of Russia is incompetent &amp; unimaginative she raised interest rates to 20% https://t.co/Lmlh3T6DUf,"[{'text': 'Putin', 'indices': [0, 6]}, {'text': 'Russia', 'indices': [159, 166]}]",1911900132,1498670241735491594
135986,1911900132,1498932296426172421,"Just saying 

#WarCrimes #UkraineKrieg #Ukraine #Russia https://t.co/ELl6rtVhjt","[{'text': 'WarCrimes', 'indices': [35, 45]}, {'text': 'UkraineKrieg', 'indices': [46, 59]}, {'text': 'Ukraine', 'indices': [60, 68]}, {'text': 'Russia', 'indices': [69, 76]}]",1238963583553122305,1499017552613285889
237918,1238963583553122305,1499020042796773383,@olex_scherba @SteveSchmidtSES The blood of these people is on the hands of every @GOP supporting #Putin. #PutinsGOP,"[{'text': 'Putin', 'indices': [98, 104]}, {'text': 'PutinsGOP', 'indices': [106, 116]}]",4709645114,1498775831279128576
69420,4709645114,1498872211066605569,@OccupyDemocrats @iguessimkitten Hey #Russia sugar can stop a tank... #Russians can stop #Putin,"[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Russians', 'indices': [70, 79]}, {'text': 'Putin', 'indices': [89, 95]}]",1175962189766643712,1499070074686164992
296046,1175962189766643712,1499070220350418944,"Yesterday we exchanged the 4,000 HBAR in our HGP Charity Wallet for 0.019765 BTC and donated to the verified Ukraine BTC wallet. We’re proud to do a small part to help support the brave people of Ukraine against Russian invaders. 🇺🇦 

#StandWithUkraine https://t.co/YkMHtNvtHE",[],86237898,1498833998633529344
29449,86237898,1498833998633529344,"I just realized that #BigNate is a walking #Ukraine flag, thanks to his shirt. #PrayForUkraine https://t.co/wrlfHjNYUR","[{'text': 'BigNate', 'indices': [21, 29]}, {'text': 'Ukraine', 'indices': [43, 51]}, {'text': 'PrayForUkraine', 'indices': [79, 94]}]",1481121063132180480,1498938660250537991
181830,1481121063132180480,1498971649584123908,@Drop_Your_NFT_ 🐻🇺🇦🐻🇺🇦🐻🇺🇦 Pleace visit our DONATION project. The whole proceed will be donated to ukrainian aid organisation and will be posted on twitter.  Thank you 🙏🏻🇺🇦 #nft #ukraine #StopWarInUkraine @opensea #StopPutinNOW #NFTCommumity  Link: https://t.co/Th4Uk6bfuR,"[{'text': 'nft', 'indices': [172, 176]}, {'text': 'ukraine', 'indices': [177, 185]}, {'text': 'StopWarInUkraine', 'indices': [186, 203]}, {'text': 'StopPutinNOW', 'indices': [213, 226]}, {'text': 'NFTCommumity', 'indices': [227, 240]}]",49175397,1498636761928548352
234085,1460402008901435396,1499016335740878848,"@UKHouseofLords @UN @IntlCrimCourt Stop killing our children! Close the sky over #Ukraine! Exclude russia from the @UN Security Council! @POTUS @eucopresident @vonderleyen @Europarl_EN @RTErdogan
#StopPutin #StopRussia","[{'text': 'Ukraine', 'indices': [81, 89]}, {'text': 'StopPutin', 'indices': [196, 206]}, {'text': 'StopRussia', 'indices': [207, 218]}]",293525474,1499081329509642241
1236,23134931,1498810594757066752,"Hacking group 'NB65', affiliated with #Anonymous has shut down the Control Center of the Russian Space Agency 'Roscosmos'.  #Russia has no more control over their own Spy-Satelites. https://t.co/Q4j15ehiVo","[{'text': 'Anonymous', 'indices': [59, 69]}]",1325486068578258945,1499140912915513346
161717,1498406285972103170,1498953159506542592,"#RussianUkrainianWar 
#Khalistan To Send “Fighters” To Defend #UkraineWar #Zelensky 

While #India #Modi Supports #Russians 
https://t.co/SVISDv6B5o 
 @free_thinker @bainjal @sagarikaghose @waglenikhil @fayedouza @svaradarajan @_sabanaqvi @naukarshah @meenakandawamy","[{'text': 'RussianUkrainianWar', 'indices': [0, 20]}, {'text': 'Khalistan', 'indices': [22, 32]}, {'text': 'UkraineWar', 'indices': [62, 73]}, {'text': 'Zelensky', 'indices': [74, 83]}, {'text': 'India', 'indices': [92, 98]}, {'text': 'Modi', 'indices': [99, 104]}, {'text': 'Russians', 'indices': [114, 123]}]",2521665137,1499163653383364611
49192,49175397,1498853132125802497,"#BREAKING  

The European Parliament has accepted #Ukraine's application to join the European Union.  A special admission procedure has been launched.","[{'text': 'BREAKING', 'indices': [19, 28]}, {'text': 'Ukraine', 'indices': [69, 77]}]",284920800,1498971679719972865
319406,293525474,1499089309776977924,New: @olivermundell says it’s “completely inappropriate” during #Ukriane crisis to say whether he backs calls  - made by most of his @ScotTories colleagues including @Douglas4Moray  - for @BorisJohnson to resign over #Partygate https://t.co/T5yyEJPlwM,"[{'text': 'Ukriane', 'indices': [64, 72]}, {'text': 'Partygate', 'indices': [217, 227]}]",1434800250229821441,1498903764891222020
378376,1325486068578258945,1499140912915513346,"I want to see a list of the 35 who abstained!!!
#UNGA #UkraineRussiaWar #UkraineUnderAttack #RussiaUkraine #RussianUkrainianWar https://t.co/935rjXO50a","[{'text': 'UNGA', 'indices': [48, 53]}, {'text': 'UkraineRussiaWar', 'indices': [54, 71]}, {'text': 'UkraineUnderAttack', 'indices': [72, 91]}, {'text': 'RussiaUkraine', 'indices': [92, 106]}, {'text': 'RussianUkrainianWar', 'indices': [107, 127]}]",35765009,1499031986266062848
407802,2521665137,1499164953089085443,"Stories of families fleeing the escalating crisis in #Ukraine are heartbreaking. Valentina describes the moment she knew she had to leave her home with her young son, and make the difficult journey to the Romanian border.

Donate now: https://t.co/bvDNqP37EE. https://t.co/x3UCVeFlqk","[{'text': 'Ukraine', 'indices': [73, 81]}]",1101241018308005898,1497701206164078593
