Unnamed: 0,userid,tweetid,text,hashtags,original_tweet_id
181287,50248794,1498270287363817478,"$CTEK $CYRN $IRNT #AnonymousHackers : the hacker collective that has declared #cyberwar  on #Russia""
#cyberattacks #CyberSecurity #Malware #stocks #StocksToBuy 
https://t.co/Idds7o3jju","[{'text': 'AnonymousHackers', 'indices': [18, 35]}, {'text': 'cyberwar', 'indices': [78, 87]}, {'text': 'Russia', 'indices': [92, 99]}, {'text': 'cyberattacks', 'indices': [101, 114]}, {'text': 'CyberSecurity', 'indices': [115, 129]}, {'text': 'Malware', 'indices': [130, 138]}, {'text': 'stocks', 'indices': [139, 146]}, {'text': 'StocksToBuy', 'indices': [147, 159]}]",1498270287363817478
225291,859524223471042560,1498308037941301249,"Big Breaking Now

Ukraine Is Not Ready To Surrender On Capitulate To Russia: Foreign Minister 
Dmytro Kuleba

https://t.co/MeRMnIjDUA

#UkraineRussia #RussiaUkraineConflict",[],1498307410020110338
184756,1009412626772660225,1498273783807102980,"#Ukraine #UkraineRussia #UkraineWar #russia #nuclearwar
Breaking News: Just Now
😭😭😭😭😭😭😭😭😭😭😭😭😭
https://t.co/ptrkDJ45wI","[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'UkraineRussia', 'indices': [9, 23]}, {'text': 'UkraineWar', 'indices': [24, 35]}, {'text': 'russia', 'indices': [36, 43]}, {'text': 'nuclearwar', 'indices': [44, 55]}]",1498027839991418881
23235,1261970488798003200,1498110433030336512,"Russia 🇷🇺 does have a case against Ukraine 🇺🇦 joining NATO (US led military alliance) - Noam Chomsky, American Scholar, Democracy Now! 2015 #Ukriane #Russia #UkraineCrisis https://t.co/9ZEg2z92jT",[],1498212311303168001
