Source,Target
1487359551477526529,1365910918714957824
1430415856765476866,1365910918714957824
1468337637656530944,1365910918714957824
1495797560421744641,1365910918714957824
1467575608855052291,1365910918714957824
1473269759802290177,1365910918714957824
1471983084795047940,1365910918714957824
1336619505104027648,1365910918714957824
1468665409763102721,1365910918714957824
53422880,1365910918714957824
1472964742440361985,1365910918714957824
1394546955733258243,1365910918714957824
1377533771356893191,1365910918714957824
1408704085742739456,1365910918714957824
1379904712791748610,1365910918714957824
2560237145,1365910918714957824
236952554,1365910918714957824
1397406505062715395,1365910918714957824
1168122374610399232,1365910918714957824
1470370305872842753,1365910918714957824
1479267331624751109,1365910918714957824
1490656549,1365910918714957824
1456471648530358290,1365910918714957824
1472795596121534464,1365910918714957824
1392788328932466689,1365910918714957824
1498521372884353026,1365910918714957824
1422666857853554688,1365910918714957824
17280115,472481958
1032371919998222336,472481958
705221863253909504,472481958
272525580,472481958
1020120494870179840,472481958
224737149,472481958
1253605607749283840,472481958
285190720,472481958
416434193,472481958
26711945,472481958
428650991,472481958
112753504,472481958
1541586762,472481958
153768110,472481958
819857586,472481958
46138571,472481958
904717034,472481958
258000605,472481958
391725042,472481958
19762342,472481958
2468093893,472481958
1299502144840638471,472481958
2419721694,472481958
2848669463,472481958
1147089496875393026,472481958
1482783005206667264,472481958
18196397,472481958
392324692,472481958
246468773,472481958
534720794,472481958
38520056,472481958
857116754,472481958
1061375502596927488,472481958
33105597,472481958
1061639342362427394,472481958
1495851095901548553,472481958
937581948,472481958
1486356558040739853,472481958
885946633774673920,472481958
4508768954,472481958
376219181,472481958
1370583061,472481958
1410222151437856772,472481958
500932519,472481958
196005354,472481958
1561805358,472481958
1862152783,472481958
3787370177,472481958
629743388,472481958
782592818413903872,472481958
993513362788044800,472481958
3010047665,472481958
73549156,472481958
309415128,472481958
1312335459545239552,472481958
220502730,472481958
1352323818518413315,472481958
586220862,472481958
2905496866,472481958
74477688,472481958
432247500,472481958
25286373,472481958
864690174,472481958
387315218,472481958
19853321,472481958
2243197400,472481958
994196049882468353,472481958
1463802686499811333,472481958
19468971,472481958
1525110841,472481958
1180672420492931075,472481958
291893810,472481958
1352151057300742144,472481958
2788613652,472481958
98989702,472481958
1473485044018601984,472481958
1364298254,472481958
1063246075400732673,472481958
284182933,472481958
222249720,472481958
1436709281227841538,472481958
278862517,472481958
1871454546,472481958
848734471130140672,472481958
26303613,472481958
82679357,472481958
274761048,472481958
798986731278258176,472481958
34037126,472481958
803479519,472481958
243939101,472481958
2303913996,472481958
485169930,472481958
786895310,472481958
908150704845533184,472481958
870378522,472481958
930263441381654533,472481958
1001437240147431425,472481958
2264641615,472481958
834943833184030722,472481958
1492693902607978496,472481958
279679549,472481958
1189160594739531776,472481958
479033982,472481958
1356230102036713472,472481958
24424328,472481958
3635786363,472481958
567814795,472481958
3237987454,472481958
540115662,472481958
4532570360,472481958
16702964,472481958
158816295,472481958
2597168593,472481958
385757647,472481958
898554931271127042,472481958
2557859383,472481958
1037107801900740609,472481958
16821275,472481958
418921738,472481958
1055403751350124544,472481958
531676595,472481958
16271356,472481958
1452271868262633474,472481958
1434039944,472481958
785546413274914816,472481958
1469896200178606083,472481958
797284416624037892,472481958
951055627710861312,472481958
958962324,472481958
109343596,472481958
119084589,472481958
74014153,472481958
20954397,472481958
261583190,472481958
148079571,472481958
1571296950,472481958
841941608,472481958
92987474,472481958
69712457,472481958
265200723,472481958
3422277279,472481958
1487191205427486731,472481958
1276076838,472481958
2539733563,472481958
2190688044,472481958
575728666,472481958
164368721,472481958
304726586,472481958
3956879655,472481958
2882469090,472481958
360312982,472481958
24753398,472481958
738780132639440896,472481958
1223234798589599746,472481958
1007669633246269440,472481958
274702007,472481958
20397101,472481958
4135296683,472481958
2320882561,472481958
324746604,472481958
450127804,472481958
2753470800,472481958
822017351264698368,472481958
3469089194,472481958
1214207026609278978,472481958
95942215,472481958
15391466,472481958
1090458694683447296,472481958
21103351,472481958
1019734240810811392,472481958
946862394,472481958
1665774050,472481958
3168989580,472481958
28917053,472481958
2359095083,472481958
95303423,472481958
1592520385,472481958
7922582,472481958
1325104916,472481958
3319902687,472481958
910132936455938048,472481958
2329359954,472481958
2462470436,472481958
43510607,472481958
1347634368408293377,472481958
2838971849,472481958
66833244,472481958
180613584,472481958
2854584359,472481958
2606871331,472481958
731777001153957888,472481958
1031334325,472481958
229871638,472481958
874813676,472481958
1486887260297609216,472481958
25011257,472481958
366086691,472481958
710246045666639872,472481958
2376755802,472481958
30248430,472481958
1471019448,472481958
792886061852602368,472481958
472481958,472481958
3195825638,472481958
1477314577545281536,472481958
1383595689351868417,472481958
23773458,472481958
1230463969,472481958
2945912786,472481958
1030524743596822533,472481958
1047114609369350150,472481958
20405966,472481958
800889631155830784,472481958
2780036908,472481958
970088441324204032,472481958
286467935,472481958
2383227584,472481958
489647200,472481958
556903360,472481958
1019076686766395395,472481958
2682920636,472481958
993540062401839107,472481958
4088649502,472481958
1671392522,472481958
938504515170467841,472481958
2775511854,472481958
1275202726406656000,472481958
1358799192538365956,472481958
346017165,472481958
554847682,472481958
1611405578,472481958
272684808,472481958
43591054,472481958
3095341239,472481958
750778405,472481958
248448262,472481958
1350460069,472481958
3368977965,472481958
1490442375600037891,472481958
278819333,472481958
251984770,472481958
591613560,472481958
52516152,472481958
1259556795216990213,472481958
3025500501,472481958
835608823041687552,472481958
2838950711,472481958
1232676370507030530,472481958
2857748500,472481958
992402853338730496,472481958
1092612766425366528,472481958
2868992222,472481958
1096474013948411904,472481958
477503229,472481958
125876581,472481958
1193687095,472481958
1327928839847219201,472481958
1268572601653309441,472481958
208115429,472481958
146771175,472481958
1080532765005602816,472481958
64359447,472481958
146748135,472481958
36364487,472481958
53237925,472481958
73873854,472481958
27562215,472481958
2192354906,472481958
60058363,472481958
19005425,472481958
2822686780,472481958
26774435,472481958
1432037661158612994,472481958
103069206,472481958
805741063,472481958
2270857867,472481958
356406495,472481958
1265320027,472481958
2802164864,472481958
287423150,472481958
1290220297,472481958
818813078569648129,472481958
333009192,472481958
87284920,472481958
54169252,472481958
28130928,472481958
1077837697,472481958
516583662,472481958
519550050,472481958
276124463,472481958
16750895,472481958
3232548648,472481958
3243677896,472481958
3255901532,472481958
331077898,472481958
1374463792487170052,472481958
1725818820,472481958
292053307,472481958
175217164,472481958
26255660,472481958
273233355,472481958
1219859941,472481958
3230982326,472481958
298917711,472481958
1274093903789133831,472481958
1323134136584994818,472481958
279135411,472481958
268466245,472481958
765603070214565890,472481958
118429360,472481958
1357218493,472481958
253210905,472481958
724688985780555776,472481958
570841936,472481958
239202364,472481958
2713141904,472481958
19772974,472481958
545178652,472481958
1340257422,472481958
1437080935694962700,472481958
21264038,472481958
800074295292542976,472481958
1487589511748071424,472481958
1265689146951184396,472481958
2727049920,472481958
2781018421,472481958
24688975,472481958
1496232824478724096,472481958
2742542732,472481958
22407628,472481958
26757686,472481958
348025494,472481958
19497898,472481958
374654206,472481958
632082816,472481958
29087577,472481958
91408274,472481958
189370399,472481958
779175673264902144,472481958
556455074,472481958
527064557,472481958
16220555,472481958
231587463,472481958
310425304,472481958
826180850173755392,472481958
218389254,472481958
487868977,472481958
394910121,472481958
2691341,472481958
119537707,472481958
1357096326,472481958
15764794,472481958
1162629142648463360,472481958
1257729177282887685,472481958
58727461,472481958
91970211,472481958
338601765,472481958
2189596933,472481958
25849601,472481958
433846277,472481958
18366701,472481958
2794620349,472481958
1344172621,472481958
327244966,472481958
436903946,472481958
3268373090,472481958
29532648,472481958
73896824,472481958
2186980543,472481958
25127782,472481958
17473360,472481958
471300640,472481958
89020389,472481958
1347229378128850944,472481958
187413029,472481958
828310819402313728,472481958
1320523698,472481958
441289118,472481958
1416465608821051396,472481958
506923082,472481958
2322402466,472481958
969623335096037376,472481958
1080999330461343744,472481958
86824492,472481958
1265048434563637248,472481958
886705482,472481958
1479849280948953090,472481958
2867808230,472481958
246552689,472481958
1393384383650975744,472481958
622167848,472481958
411108662,472481958
850124612549705728,472481958
990287988658769925,472481958
548946086,472481958
1026601820037177344,472481958
829458650489974784,472481958
238865666,472481958
884026348515115008,472481958
1537307496,472481958
993636414758768640,472481958
17537410,472481958
743891682,472481958
425451607,472481958
272436699,472481958
40690674,472481958
3098295646,472481958
291336460,472481958
153961226,472481958
16153790,472481958
30928502,472481958
1436670178595590149,472481958
901524423043371009,472481958
1899128280,472481958
15991061,472481958
26696510,472481958
305401065,472481958
1481899982689128451,472481958
353686710,472481958
1257641778196418561,472481958
2448950437,472481958
243868166,472481958
16309539,472481958
1262450942,472481958
