Source,Target
1498951214997901315,1498316110399213575
2192974553,1498316110399213575
1499453619791446017,1498316110399213575
758558588122062848,1498316110399213575
391663126,1498316110399213575
1501202899258515461,1498316110399213575
1244682614969163778,1498316110399213575
1498565997707542533,1498316110399213575
1499673188179099648,1498316110399213575
1498732759451414531,1498316110399213575
1304687928405352449,1498316110399213575
1499812069272662030,1498316110399213575
761175297190395904,1498316110399213575
1497996580724645897,1498316110399213575
1496397823184678913,1498316110399213575
1459996563367989255,1498316110399213575
74848492,1498316110399213575
1149589969519775744,1498316110399213575
1497857277419794432,1498316110399213575
758597260968075264,1498316110399213575
1498954712267251712,1498316110399213575
1498732025859219468,1498316110399213575
406109125,1498316110399213575
1499452522435592198,1498316110399213575
4188473483,1498316110399213575
1498385861704138756,1498316110399213575
1282648416762437638,1498316110399213575
720209406,1498316110399213575
1598850174,1498316110399213575
1500456307819790344,1498316110399213575
1501210125188616197,1498316110399213575
1482441110291111936,1498316110399213575
1500817045105086464,1498316110399213575
3297502808,1498316110399213575
2679906612,1498316110399213575
2983030888,1498316110399213575
910193046918189056,1498316110399213575
129007898,1498316110399213575
829695027471331333,1498316110399213575
1498646502843072518,1498316110399213575
870639045050855424,1498316110399213575
1500374131216461824,1498316110399213575
1348470629054427138,1498316110399213575
1052971534816595969,1498316110399213575
1499420098293116935,1498316110399213575
1500395645877719043,1498316110399213575
1125776261111058432,1498316110399213575
1500183295862218757,1498316110399213575
1497156076529201153,1498316110399213575
1499807909940809733,1498316110399213575
892032312455593984,1498316110399213575
1500835428215238659,1498316110399213575
1496197286375923712,1498316110399213575
1500097774653743104,1498316110399213575
2297707173,1498316110399213575
894651329699774464,1498316110399213575
3105866273,1498316110399213575
1500113741563768835,1498316110399213575
1315472748,1498316110399213575
3087064806,1498316110399213575
1448502687838785536,1448502687838785536
1235191265437851648,1448502687838785536
3106021405,1448502687838785536
841048198940631050,272323143
1446647676829847552,272323143
840307126492905473,272323143
2697181584,272323143
1452700074551697413,272323143
2437144404,272323143
240008571,272323143
937725955,272323143
1502205414225686528,272323143
143560107,272323143
827750607951917056,272323143
2226806316,272323143
2842034452,272323143
617592492,272323143
15379585,272323143
1426219381172936706,272323143
1439018555874349057,272323143
1087558879,272323143
295652790,272323143
1554456818,272323143
1491348378558472194,272323143
25608357,272323143
1141046455941173248,272323143
1110293840206823425,272323143
279845203,272323143
2899525570,272323143
883428728881152000,272323143
1239214532884598784,272323143
257082907,272323143
901498369784152064,272323143
49646035,272323143
1267672065022128128,272323143
2907936395,272323143
48284464,272323143
843325470091476992,272323143
1311141311987118080,272323143
1341883202055467009,272323143
16641867,272323143
1246657086970384386,272323143
50642512,272323143
1307472994294407168,272323143
411571806,272323143
2318044543,272323143
1480187587188953093,272323143
3107546928,272323143
263443935,272323143
620943800,272323143
2213297186,272323143
522112414,272323143
1238114728691421186,272323143
43954314,272323143
1073935628717350915,272323143
1435417963490955266,272323143
830939480,272323143
1440372597544263686,272323143
1314575828986986496,272323143
1472601259819638788,272323143
2781080976,272323143
130530294,272323143
1022462361964347392,272323143
3122164227,272323143
58156214,272323143
1595718337,272323143
1298487758458179584,272323143
15137048,272323143
547799258,272323143
888066157684690948,272323143
2700171211,272323143
601103573,272323143
1356155019804946432,272323143
1501238847023333382,272323143
45738574,272323143
2533089168,272323143
3225684553,272323143
886393845310730240,272323143
16305471,272323143
362030595,272323143
1244718026039189505,272323143
386245104,272323143
98167464,272323143
