,userid,tweetid,text,hashtags
193542,439034383,1499349395401289732,"""Etical"" https://t.co/hbfcEmCoNM"" Please share❗📣#petsofukraine
We've made our services FREE for anyone in need in Ukraine. Urgent medical advice first aid 🇺🇦🐾#supportukraine #PawsquadUK  https://t.co/QlykGVG7zT
He stay Kiev for homeless dogs! #Ukraine
https://t.co/mvyM564vTo https://t.co/PnakVWzglj","[{'text': 'petsofukraine', 'indices': [48, 62]}, {'text': 'supportukraine', 'indices': [158, 173]}, {'text': 'PawsquadUK', 'indices': [174, 185]}, {'text': 'Ukraine', 'indices': [243, 251]}]"
9795,1265270011222020096,1499181795220533248,"🔴 The Independent are launching the Refugees Welcome fund to raise money for the thousands of men, women and children who are fleeing the fighting in Ukraine

⬇️ Find out more below https://t.co/NNLv2xNfhe

#Ukraine #Russia #War #Donate #Refugees",[]
50701,1489241986389651458,1499216765985107969,"Strike over Kyiv, a while ago #Ukraine #RussianUkrainianWar #RussiaUkraineWar ,#UkraineUnderAttack https://t.co/IDvwwXdctc","[{'text': 'Ukraine', 'indices': [30, 38]}, {'text': 'RussianUkrainianWar', 'indices': [39, 59]}, {'text': 'RussiaUkraineWar', 'indices': [60, 77]}, {'text': 'UkraineUnderAttack', 'indices': [79, 98]}]"
305170,1152348175761465344,1499451437209702413,@olex_scherba We are all Putin's puppets. He is controlling the entire world w/the conditions we will not go against.  He knows that.  He can eradicate an entire country. Shame on us.   Black mark on the world and humanity.  #UkraineRussianWar #Ukriane #IStandWithUkraine #IStandWithZelenskyy,"[{'text': 'UkraineRussianWar', 'indices': [225, 243]}, {'text': 'Ukriane', 'indices': [244, 252]}, {'text': 'IStandWithUkraine', 'indices': [253, 271]}, {'text': 'IStandWithZelenskyy', 'indices': [272, 292]}]"
330920,1369587782897831939,1499474347576205316,"@JJansaSDS @UN @NATO @Europarl_EN Please be as united while considering exclusion of #Russia from the @UN and closing the sky over Ukraine – at least over nuclear objects. 

It's the matter of safety not only of Ukraine, but the whole world.

#StopPutinNOW #StopWarInUkraine #StopRussia #CloseTheSky @NATO","[{'text': 'Russia', 'indices': [85, 92]}, {'text': 'StopPutinNOW', 'indices': [243, 256]}, {'text': 'StopWarInUkraine', 'indices': [257, 274]}, {'text': 'StopRussia', 'indices': [275, 286]}, {'text': 'CloseTheSky', 'indices': [287, 299]}]"
62483,1492884239347597317,1499226778535145472,"The #war is not between #Russia and #Ukraine, but between the past and the future, between tyrany and freedom, between bad guys and good guys. I want to believe that the good guys always win. #StopPutinNOW https://t.co/WFHpXqhKT5","[{'text': 'war', 'indices': [4, 8]}, {'text': 'Russia', 'indices': [24, 31]}, {'text': 'Ukraine', 'indices': [36, 44]}, {'text': 'StopPutinNOW', 'indices': [192, 205]}]"
288533,1405015049681342465,1499435841071955969,"This was posted some time ago by a Voice of America Director #VOA ⁦@VOANews⁩. Now with #Ukraine and independent media in #Russia being destroyed, we need Biden to appoint #USAGM ⁦@USAGMgov⁩ leaders who don’t post such nonsense. https://t.co/78fpSRdPq1","[{'text': 'VOA', 'indices': [61, 65]}, {'text': 'Ukraine', 'indices': [87, 95]}, {'text': 'Russia', 'indices': [121, 128]}, {'text': 'USAGM', 'indices': [171, 177]}]"
246014,1471146841379151874,1499393708864651264,"Ukrainian weapon smugglers seeing what they will get from the EU for free

#Zelenskyy
#UkraineRussiaWar 
#Ukraine 
#UkraineWillResist
#Mariupol
#Lavrov 
#EuropeanUnion https://t.co/IIjwSxmGHS","[{'text': 'Zelenskyy', 'indices': [75, 85]}, {'text': 'UkraineRussiaWar', 'indices': [86, 103]}, {'text': 'Ukraine', 'indices': [105, 113]}, {'text': 'UkraineWillResist', 'indices': [115, 133]}, {'text': 'Mariupol', 'indices': [134, 143]}, {'text': 'Lavrov', 'indices': [144, 151]}, {'text': 'EuropeanUnion', 'indices': [153, 167]}]"
146701,51285724,1499310145012219907,"15735 kHz and 5875 kHz

The #BBC has revived an old-school radio service to help #Ukraine as TV and internet is attacked by #Russia. https://t.co/BKnGXa3Enp","[{'text': 'BBC', 'indices': [44, 48]}, {'text': 'Ukraine', 'indices': [97, 105]}]"
339438,2905332184,1499481874854518785,"@SenFeinstein Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #StopPutin #SafeAirliftUkraine","[{'text': 'Putin', 'indices': [82, 88]}, {'text': 'StopPutin', 'indices': [137, 147]}, {'text': 'SafeAirliftUkraine', 'indices': [148, 167]}]"
249284,764397613,1499397323880689667,"Arrival of Ukrainian refugees in Frankfurt (Oder), much better organization than in 2015! #Ukraine #peaceforukraine #FrankfurtOder https://t.co/kNDZ2qj3T6","[{'text': 'Ukraine', 'indices': [90, 98]}, {'text': 'peaceforukraine', 'indices': [99, 115]}, {'text': 'FrankfurtOder', 'indices': [116, 130]}]"
186919,3391374694,1499344168811962368,"#NEW The UN says more than 1 million people have fled #Ukraine since Russia's invasion began. That's more than 2% of Ukraine's population.

Gov. McKee says RI is ready to welcome refugees, but it could be years before they arrive. More this AM on @wpri12

https://t.co/IJiNz4pait","[{'text': 'NEW', 'indices': [0, 4]}, {'text': 'Ukraine', 'indices': [54, 62]}]"
718,363601382,1499174781278728200,"There’s nothing healthy about Holland &amp; Barrett, owned by Mikhail Fridman, an oligarch #Putin crony. He has resigned from the board today, but still owns the firm, and of course vast properties in the UK. Boycott it whilst he remains the owner.
#StandingWithUkraine #StopPutinNOW","[{'text': 'Putin', 'indices': [101, 107]}]"
121896,2202063265,1499287362320351234,@GOV2UK It’s #JohnsonOut38 day. His days are numbered. #NHS4MyVote #StandWithUkraine,"[{'text': 'JohnsonOut38', 'indices': [13, 26]}, {'text': 'NHS4MyVote', 'indices': [55, 66]}, {'text': 'StandWithUkraine', 'indices': [67, 84]}]"
30974,3377374973,1499201103933710344,‘Boycotting a country accused of aggression in violation of international law has suddenly become justifiable and even a moral obligation – but apparently only as long as it is #Russia .’ ⁦@intifada⁩  https://t.co/kvMnkXS2yu,[]
334082,798253360847659008,1499477605229207556,"@Alexia89945741 Baghdad ❤️

Seems like you Russian propagandists always forget to post what happened very shortly after the sign supporting the terrorist was put up. Don't worry, I got your back 😄

#Putin #Russia #Baghdad #Iraq #Ukraine #UkraineRussiaWar #Kyiv #Kharkiv #Marioupol #Kherson https://t.co/V6B2pOuShm","[{'text': 'Putin', 'indices': [198, 204]}, {'text': 'Russia', 'indices': [205, 212]}, {'text': 'Baghdad', 'indices': [213, 221]}, {'text': 'Iraq', 'indices': [222, 227]}, {'text': 'Ukraine', 'indices': [228, 236]}, {'text': 'UkraineRussiaWar', 'indices': [237, 254]}, {'text': 'Kyiv', 'indices': [255, 260]}, {'text': 'Kharkiv', 'indices': [261, 269]}, {'text': 'Marioupol', 'indices': [270, 280]}, {'text': 'Kherson', 'indices': [281, 289]}]"
226711,947643131972820992,1499378377257816065,"O human being, I request you to give up the idea of ​​war. Be wise, for whom should we fight this war? How many more days will you be in the world? Stop your cruelty. Have mercy on all human beings. 

#StopWar https://t.co/sq40vdyspg",[]
