,userid,tweetid,text,hashtags
78515,2917146303,1500317744729935876,"@POTUS @VP  @GOP @LeaderMcConnell @SenSchumer  #UnitedNations time is running out for #UkraineRussianWar the people In Ukraine need help now , whatever you can do  , please do it quickly #fighterjets , secret reconnaissance, anti aircraft, drones . Stop letting #Putin dictate .","[{'text': 'UnitedNations', 'indices': [47, 61]}, {'text': 'UkraineRussianWar', 'indices': [86, 104]}, {'text': 'fighterjets', 'indices': [187, 199]}, {'text': 'Putin', 'indices': [262, 268]}]"
478539,711683570314698753,1500569766104379394,#NewOrleans Selected to Participate in Economic Inclusion Initiative #inclusiveworld #everyoneisincluded #inclusion #diversity #includethechildren #Russia #Ukraine  https://t.co/xbox0Mob31,"[{'text': 'NewOrleans', 'indices': [0, 11]}, {'text': 'inclusiveworld', 'indices': [69, 84]}, {'text': 'everyoneisincluded', 'indices': [85, 104]}, {'text': 'inclusion', 'indices': [105, 115]}, {'text': 'diversity', 'indices': [116, 126]}, {'text': 'includethechildren', 'indices': [127, 146]}, {'text': 'Russia', 'indices': [147, 154]}, {'text': 'Ukraine', 'indices': [155, 163]}]"
34985,1500274899214114817,1500284435232604161,#kyiv Russia upgrades its tanks https://t.co/YDQUIVBFq2,"[{'text': 'kyiv', 'indices': [0, 5]}]"
275880,1441559488075468812,1500448933734240261,@voxdotcom ❤️🙏🏻🕊 #Prayingforpeace #StandwithUkraine #PrayingForUkraine #PrayingforRussia #Prayingfortheworld 🙏🏻✨✌🏻 #grateful #gratitude #thankyou for sharing ❤️,"[{'text': 'Prayingforpeace', 'indices': [17, 33]}, {'text': 'StandwithUkraine', 'indices': [34, 51]}, {'text': 'PrayingForUkraine', 'indices': [52, 70]}, {'text': 'PrayingforRussia', 'indices': [71, 88]}, {'text': 'Prayingfortheworld', 'indices': [89, 108]}, {'text': 'grateful', 'indices': [115, 124]}, {'text': 'gratitude', 'indices': [125, 135]}, {'text': 'thankyou', 'indices': [136, 145]}]"
498096,4498297834,1500581785012375553,"This is part of what Putin did one day in #Aleppo, when #Putin was to the countries of the world the handsome man with blue eyes
#Syria #Ukraine 
@POTUS 
@UN 
@ZelenskyyUa 😡 https://t.co/OFIYdOYtXC","[{'text': 'Aleppo', 'indices': [59, 66]}, {'text': 'Putin', 'indices': [73, 79]}]"
130286,3300667683,1500356927871725571,"Really good thread on Russian 🇷🇺popular support for war in 🇺🇦. Polls suggest 60% of 🇷🇺 support war. Rather, they're measuring (1) how many people are willing to talk openly about the war, and (2) what those people think other people think about the war #UkraineUnderAttaсk https://t.co/OIzILRUhSl","[{'text': 'UkraineUnderAttaсk', 'indices': [253, 272]}]"
453882,14786287,1500555695644712967,"P.S. This includes Russians who are openly opposing the #Putin regime, for example journalists such as @tvrain’s @MikhailFishman… he got turned away by 🇬🇪 border control with no explanations.","[{'text': 'Putin', 'indices': [56, 62]}]"
378663,2491664966,1500510491889836037,"@SkyNews Discussions last night with Poland to send MIG fighter jets (and later, get American jets to replace them) 
https://t.co/0cl58hXWNY
May not happen soon 
Ten hours ago: 
""Poland won't send its fighter jets to #Ukraine as well as allow to use its airports"" https://t.co/T2UMTkl8SI","[{'text': 'Ukraine', 'indices': [217, 225]}]"
241014,1497588589403820034,1500427313825132544,"@ua_parliament Close the sky over #Ukraine! We ask for protection for our children.
@Isaac_Herzog @naftalibennett @IsraelinUkraine @AlonUshpiz
#StopPutin #StopRussia #NoFlyZoneUA https://t.co/EHfmezMx1K","[{'text': 'Ukraine', 'indices': [34, 42]}, {'text': 'StopPutin', 'indices': [143, 153]}, {'text': 'StopRussia', 'indices': [154, 165]}, {'text': 'NoFlyZoneUA', 'indices': [166, 178]}]"
515138,1086521990599593987,1500591411799986180,reshare 💛💙 #fortnite #ukraine #putin #StopRussia #russia #Kyev #kyiv #UkraineWar https://t.co/wLI4OCQBAj,"[{'text': 'fortnite', 'indices': [11, 20]}, {'text': 'ukraine', 'indices': [21, 29]}, {'text': 'putin', 'indices': [30, 36]}, {'text': 'StopRussia', 'indices': [37, 48]}, {'text': 'russia', 'indices': [49, 56]}, {'text': 'Kyev', 'indices': [57, 62]}, {'text': 'kyiv', 'indices': [63, 68]}, {'text': 'UkraineWar', 'indices': [69, 80]}]"
