,userid,tweetid,text,hashtags
155025,916674562540167168,1498246706684739584,Sometimes stubbornness pays a lot. I’m glad I didn’t agree to stay back after medschool. I’m not being insensitive. I’m solely grateful ❤️🙏 God be with you all ❤️ #grateful #UkraineRussiaWar #racism #RussiaUkraineWar #Russia https://t.co/cxmGLC3RFZ,"[{'text': 'grateful', 'indices': [163, 172]}, {'text': 'UkraineRussiaWar', 'indices': [173, 190]}, {'text': 'racism', 'indices': [191, 198]}, {'text': 'RussiaUkraineWar', 'indices': [199, 216]}, {'text': 'Russia', 'indices': [217, 224]}]"
85535,216492959,1498178770532024322,@maxseddon Huge 1984 vibe. #RussiaUkraineWar https://t.co/T9gS31Jfad,"[{'text': 'RussiaUkraineWar', 'indices': [27, 44]}]"
46496,101895393,1498136313463291906,"Another Ukrainian hero.

#ukraine #russia https://t.co/hgYgcJrpUV","[{'text': 'ukraine', 'indices': [46, 54]}, {'text': 'russia', 'indices': [55, 62]}]"
194081,1426893167853514752,1498281601419075587,"War of misinformation; be critical. There's WW3 already and its about the mind of the masses. Script rehearsed with proxy wars now coming to 🇪🇺🤡? CGI can change faces, backgrounds. FactCheck censored. Social,MSM manipulated. Where's covid? #Ukraine #Ουκρανία #μμε_ξεφτίλες #κιεβο https://t.co/GSRScm0y6o",[]
173567,1300052140501733377,1498262681249329153,"#Ukriane #UkraineRussiaWar He sent his Spetsnaz , Saboteurs Chechen Paramilitary and Wagner the guy has hit rock bottom ..","[{'text': 'Ukriane', 'indices': [0, 8]}, {'text': 'UkraineRussiaWar', 'indices': [9, 26]}]"
